_id,codice_cis,denominazione,ragione_sociale,comparto,tipologia,sottotipologia,classicazione,cod_istat_provincia_sede_operativa,sigla_provincia_sede_operativa,provincia_sede_operativa,codice_nuts_1_sede_operativa,codice_nuts_2_sede_operativa,codice_nuts_3_sede_operativa,codice_istat_comune_sede_operativa,comune_sede_operativa,via_sede_operativa,civico_sede_operativa,mail_sede_operativa,telefono_sede_operativa,localita_sede_operativa,pec_sede_operativa,sito_web,lingue_parlate,brand_comunicazione,breve_descrizione,foto,foto1,foto2,foto3,foto4,foto5,latitudine,longitudine,data_ultima_modifica,tel_fisso,logo,codice_ateco,modalita_prenotazione,cancellazione_pagamento,carte_credito_accreditate,accessibilita_spazi_interni,accessibilita_spazi_esterni,servizi_animali,servizi_generali,tipo_cucina,fascia_prezzo_pasto_medio,riconoscimenti,ricetta_tipica,descrizione_servizi,territorio,prodotto_specializzazione,tema_specializzazione,tipo_rappresentazione,produzione_tipica_zona,prodotti_tipici,tipo_attrezzatura_ricreativa,periodi,id_sede,provincia,comune,localita,servizi_camera,parcheggio,internet,check_in,check_out,prima_colazione,tipo_colazione,resort,centro_congressi,numero_sale,accessibilita_sale_disabili,capienza_sala_principale,lunghezza_sala_principale,superficie_sala_principale,potenza_elettrica_max_sala_principale,caratteristiche_sala_principale,capienza_sala_piccola,superficie_totale_sale,area_foyer,numero_zone_foyer,zone_banchetti,totale_superificie_area_congressi,area_espositiva_interna,area_espositiva_esterna,superficie_area_esposativa_interna,superficie_area_espositiva_esterna,servizi_per_eventi,country_house,masseria_didattica,certificazione_qualita_ambientale,scelta_parcotema_percorso_cammino,scelta_cantina_frantoio_forno_pastificio_caseificio,scelta_maneggio_campogolf_stadio_diving,servizio_biglietteria,scelta_teatri_saleconcerto,scelta_infopoint_proloco,scelta_cinema_studicinema_mediatiche,scelta_biblio_archivi_musei_galleriearte,scelta_parcodivertimento_parcotematico,numero_zone_banchetti,servizi_specifici_persone_disabili,scelta_porto_approdo_puntoormeggio
228,,Lido Fratelli Falcone,Fratelli Falcone s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,Lungomare E. Mattei,5,hotel2mari@gtfalcone.it,0884708251,,,www.gtfalcone.it,,Lido Fratelli Falcone,Il Lido Falcone & 2 Mari si trova a 200mt dal centro del paese; comodo per tutta la famiglia ed all'insegna del relax.,,,,,,,41.877766,16.176287,2023-09-11 00:00:00+02,0884708251,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Scialara,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
229,,Lido Fuori Rotta di Negro Fabrizio,Fuori Rotta di Negro Fabrizio s.a.s.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075057,Otranto,Porto Craulo - Località La Punta,,info@fuorirottabeach.com,,,,www.fuorirottabeach.it,Italiano | Inglese,Fuorirotta Beach,Stabilimento Balneare,https://www.dms.puglia.it/digitalmanagementsystem/image/19947/foto1-19947.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/19947/foto2-19947.jpg,,,,,40.143898,18.491167,2022-09-25 00:00:00+02,,,,telefono,bonifico,si tutte,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Terminali degli impianti facilmente utilizzabili e individuabili | Servizi igienici | Cucine | Balconi e terrazze | Percorsi orizzontali con andamento quanto piu' possibile continuo | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Pendenza rampa,Percorsi | Parcheggi | Segnaletica,,,Per celiaci | Vegetariana | Per altre esigenze specifiche | Tipica | Internazionale,,,,,Salento,,,,,,,,16,,,Porto Craulo,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
230,,Lido Gabbiano,il gabbino di dilecce pietro & c.sas,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,lidogabbiano@libero.it,,,,nessuno,,lido gabbiano,"stabilimento balneare offre servizio bar,giochi per bambini,wc,docce(fredda libera,calda con moneta da 0,50euro,servizio assistenza clientela con bagnini e sala pic-nic.",,,,,,,41.37397,16.151165,2022-10-27 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,margherita di savoia(bt),,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
231,,Lido Gambero d'Oro,Lido Gambero d'Oro di Santobuono Donato & c. s.a.s.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Via Barletta,,donato.santobuono@tiscali.it,,,,www.lidogamberodoro.it,Italiano,Lido Gambero d'Oro,Stabilimento balneare con annesso bar e ristorante alla carta,https://dms.ect.regione.puglia.it/image/19866/foto1-19866.jpeg,https://dms.ect.regione.puglia.it/image/19866/foto2-19866.JPG,https://dms.ect.regione.puglia.it/image/19866/foto3-19866.jpg,https://dms.ect.regione.puglia.it/image/19866/foto4-19866.jpg,https://dms.ect.regione.puglia.it/image/19866/foto5-19866.jpeg,,41.36856,16.161146,2023-06-16 00:00:00+02,,https://dms.ect.regione.puglia.it/image/19866/logo-19866.png?type=logo,,Online - Telefonica,si,Tutte,Arredi fissi | Cucine | Pavimenti non sdrucciolevoli | Pendenza rampa | Porte di accesso facilmente manovrabili | Servizi igienici,Parcheggi | Pavimentazione | Segnaletica,,Bar | Ristorante,Tipica | Mediterranea,,,,,Puglia Imperiale,,,,,,,,16,,,Margherita di Savoia,,Privato coperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
232,,Lido Gandoli,Cecinato Francesca Gestione Lido Gandoli,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073010,Leporano,Lido Gandoli,,lidogandoli@libero.it,,,,,,,,,,,,,,40.383858,17.299236,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,,
233,,LIDO GATTARELLA RESORT,GATTARELLA SPA,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,località lama le canne,,gattarella@pec.it,,,,,,Lido di Gattarella,stabilimento balneare,,,,,,,41.83838,16.18338,2023-09-13 00:00:00+02,,,,,,,,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Vieste,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
234,,Lido Gattarella Resort 2,Gattarella s.p.a.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,Località Lama Le Canne,,mariapina.caruso@gattarella.it,,,,www.gattarella.it,,lido balneare,Lido Gattarella Resort 2,,,,,,,41.83812,16.183249,2023-09-13 00:00:00+02,,,,,,,,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,"località lama le canne, snc",,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
235,,Lido Gazebo,Valerio Dario soc. Babayaga & C. sas,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Via Manfredonia,,ass.asba@gmail.com,,,,,,,struttura balneare ideale x famiglie e giovani,,,,,,,41.38341,16.136839,2022-10-27 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,Privato coperto gratuito | Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
236,,Lido Ginevra,Ginevra s.r.l.,Enogastronomia | Mare,Ristorazione | Stabilimenti balneari,"Servizi di ristorazione (ristoranti, catering, ...) | Servizi per la gestione di stabilimenti balneari",n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110002,Barletta,Lungomare Pietro Paolo Mennea,2,ristomareginevra@tiscali.it,3471891211,,,www.lidoginevra.com,Italiano,Lido Ginevra,"STORICO STABILIMENTO BALNEARE AL CENTRO CITTA', IDEALE PER LE FAMIGLIE CON TUTTI I SERVIZI, RISTORANTE - SALA RICEVIMENTI, APERTI TUTTO L' ANNO CON CUCINA TERRITORIALE E DI MARE, PASTI SENZA GLUTINE SU PRENOTAZIONE, CHEF RICONOSCIUTO A LIVELLO NAZIONALE.",https://dms.ect.regione.puglia.it/image/19856/foto1-19856.JPG,https://dms.ect.regione.puglia.it/image/19856/foto2-19856.JPG,https://dms.ect.regione.puglia.it/image/19856/foto3-19856.jpg,https://dms.ect.regione.puglia.it/image/19856/foto4-19856.JPG,https://dms.ect.regione.puglia.it/image/19856/foto5-19856.JPG,,41.323174,16.2808,2023-08-29 00:00:00+02,3471891211,,,,,tutte,Pavimenti non sdrucciolevoli | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pendenza rampa | Arredi fissi | Porte di accesso facilmente manovrabili,Parcheggi,,Bar | Punto ristoro | Ristorante | Cassaforte / cassette di sicurezza,Tipica | Italiana | Specialita' di mare | Per celiaci,31-40 Euro,,,,Puglia Imperiale,,,,,,,,16,,,BARLETTA,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
237,,Lido Granchio Rosso,Punto Blu s.n.c. Fratelli Monaco Antonio & Roberto,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074001,Brindisi,Punta Penne,,lidogranchiorosso@alice.it,,,,,Italiano | Inglese,LIdo Granchio Rosso,spiaggia attrezzata,,,,,,,40.6801,17.933527,2019-07-01 00:00:00+02,,,,,,,,,,Ristorante | Bar,Altro | Tipica,,,,,Salento,,,,,,,,16,Brindisi,BRINDISI,Brindisi,,Privato scoperto a pagamento,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
238,,Lido Haiti,Lido Haiti Sas Di Cristiano Emanuele E Lacavalla F. & C.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Via Barletta Loc. Cannafesca,,ass.asba@gmail.com,,,,,,,struttura balneare ideale per famiglie e giovani,,,,,,,41.357468,16.167467,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
239,,Lido Hotel,Lido Hotel Di Camporeale Angela &  C. Sas,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,ass.asba@gmail.com,,,,,,,"struttura balneare ,ideale per famiglie e giovani",,,,,,,41.38021,16.14408,2022-10-27 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
240,,Lido Hotel del Sole,International Service Quality,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,"Via Manfredonia  km. 34,500",s.c.,info@hoteldelsoleresort.it,0883657306,,,www.hoteldelsoleresort.it,,Lido ''Baia del Sole'',"Lido sorge in una caletta privata con sabbia finissima con  fondale basso e cristallino, ideale per le famiglie con bambini piccoli",,,,,,,40.773262,17.327328,2019-07-01 00:00:00+02,0883657306,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,Margherita di Savoia,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
241,,Lido Hotel Merinum,Hotel Merinum dei F.lli Notarangelo SNC,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,Lungomare E. Mattei,snc,info@hotelmerinum.it,0884706721,Scialara/Castello,hotelmerinum@pec.it,https://www.hotelmerinum.it/spiaggia/,Inglese | Italiano | Tedesco,Lido Hotel Merinum,"Stabilimento balneare a ridosso del celebre faraglione Pizzomunno, simbolo di Vieste.",https://dms.ect.regione.puglia.it/image/20141/foto1-20141.jpg,,,,,,41.878513,16.176716,2023-09-15 00:00:00+02,0884706721,,,,,,,,Ciotola acqua,Bar | Punto ristoro,Tipica,,,,,Gargano e Daunia,,,,,,,,16,Foggia,VIESTE,Scialara/castello,,Pubblico a pagamento,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
242,,LIDO HOTEL SFINALICCHIO,LIDO HOTEL SFINALICCHIO DI FALCONE BIASE,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,Località Sfinalicchio,6,falcopin@libero.it,0884706529,,,www.hotelsfinalicchio.it,,lidohotelsfinalicchio,splendida spiaggia a soli 30 metri dall'hotel sfinalicchio,,,,,,,41.915638,16.111431,2019-07-01 00:00:00+02,0884706529,,,,,,,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,sfinalicchio,,Privato coperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
243,,LIDO HOTEL TERMINAL,CAROLI HOTELS SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075019,Castrignano del Capo,LUNGOMARE COLOMBO - SANTA MARIA DI LEUCA,59,amministrazione@carolihotels.it,0833263321,,carolihotels@pec.it,,Italiano,,Stabilimento Balneare,,,,,,,,,2023-05-10 00:00:00+02,0833263321,,,,,,,,Ciotola acqua,,Per celiaci | Tipica | Per altre esigenze specifiche | Vegetariana,,,,,Salento,,,,,,,,16,Lecce,CASTRIGNANO DEL CAPO,SANTA MARIA DI LEUCA,,Pubblico a pagamento,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,,
244,,Lido il Faro,Excalibur s.r.l.,Enogastronomia | Mare,Ristorazione | Stabilimenti balneari,"Servizi di ristorazione (ristoranti, catering, ...) | Servizi per la gestione di stabilimenti balneari",n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074012,Ostuni,Via Consolato Veneziano - Villanova Zona Fontanelle,75,pinonacci@tiscali.it,,,,www.ilfarostuni.it,,LIDO IL FARO,STABILIMENTO BALNEARE BAR RISTORANTE,,,,,,,,,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Valle d'Itria e Murgia dei Trulli,,,,,,,,16,,,Villanova di Ostuni (BR) - zona Fontanelle,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
245,,Lido Ilmaredentro,Kabao Club s.a.s.,Enogastronomia | Mare,Ristorazione | Stabilimenti balneari,"Servizi di ristorazione (ristoranti, catering, ...) | Servizi per la gestione di stabilimenti balneari",n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,Strada dello Speziale snc,184,kabaosas@gmail.com,0805348894,,,www.lidoilmaredentro.it,Inglese,Lido ilmaredentro,"ilmaredentro, su una superficie di oltre 5.000 mq, conta di 100 cabine e 140 ombrelloni, due piscine con acqua di mare e 75 metri di arenile. Ampi e comodi gazebo, già arredati, sono ideali per gruppi. Cabine suite con doccia interna sono a disposizione per chi ricerca maggior intimità e comodità.  La Biberoneria, riservata a bambini da 0 a 3 anni, offre la possibilità di preparare e scaldare pappe, utilizzare scalda biberon, forno a microonde, frigorifero e lavandino. Disponibile ristorante e caffetteria.   Da noi trovi: 2 piscine di acqua salmastra, solarium, docce calde, bar, ristorante, animazione, area giochi, accessi per disabili, infermeria, nursery, parcheggio.",https://www.dms.puglia.it/digitalmanagementsystem/image/19824/foto1-19824.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/19824/foto2-19824.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/19824/foto3-19824.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/19824/foto4-19824.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/19824/foto5-19824.jpg,,,,2023-09-29 00:00:00+02,0805348894,https://dms.ect.regione.puglia.it/image/19824/logo-19824.png?type=logo,,online,,"Visa, Master Card",Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo | Arredi fissi,Parcheggi | Pavimentazione,,Bar | Ristorante | Baby sitting | Punto ristoro,Tipica,10-20 Euro,,,,Bari e la costa,,,,,,,,16,,,Bari,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
246,,Lido il Marinaio,Lido il Marinaio di Biccari Giuseppe,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,biccarigiuseppe@gmail.com,,,,,,LIDO IL MARINAIO,STABILIMENTO BALNEARE - BAR - AREA BIMBI - AREA GIOCHI,,,,,,,41.377693,16.14844,2022-10-27 00:00:00+02,,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Arredi fissi | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pendenza rampa,Segnaletica,,,,,,,,Puglia Imperiale,,,,,,,,16,,,margherita di savoia,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
247,,Lido Il Molo,Lido il Molo di Giannotta Sandra,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075090,Ugento,Contrada Poseidone,snc,info@lidoilmolo.it,3384517728,,,www.lidoilmolo.it,,LIDO IL MOLO,STABILIMENTO BALNEARE CON RISTORAZIONE,,,,,,,39.883984,18.121115,2022-09-30 00:00:00+02,3384517728,,,,,,Pavimenti non sdrucciolevoli | Servizi igienici,,,,,,,,,Salento,,,,,,,,16,,,Torre San Giovanni - Fraz. di Ugento,,Privato coperto a pagamento | Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
248,,Lido Il Panda,Cooperativa il Panda,Enogastronomia | Mare,Ristorazione | Stabilimenti balneari,"Servizi di ristorazione (ristoranti, catering, ...) | Servizi per la gestione di stabilimenti balneari",n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073027,Taranto,Lungomare Eroi del Mare,snc,tecnostudio2012@gmail.com,,,,,,KALE',STABILIMENTO BALNEARE COMPLETO,,,,,,,,,2019-07-01 00:00:00+02,,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Arredi fissi | Servizi igienici | Balconi e terrazze | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pendenza rampa,Percorsi | Pavimentazione | Parcheggi,Ciotola acqua | Ciotola croccantini | Spazio apposito per animali,,,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,,,Castellaneta Marina,,Privato coperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
249,,Lido il Pascia',Lido il Pascia' s.n.c.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110002,Barletta,Litoranea di Ponente Lotto B/5,,miky2883@gmail.com,3389220727,,,,,Lido Il Pascià,Stabilimento balneare con servizio american bar,,,,,,,41.319664,16.283821,2022-10-17 00:00:00+02,3389220727,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Terminali degli impianti facilmente utilizzabili e individuabili | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pendenza rampa,Percorsi | Pavimentazione | Segnaletica,,,,,,,,Puglia Imperiale,,,,,,,,16,,,Barletta,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
250,,Lido Kalu',LIDO KALU' di Errico Luca,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,Localita' Spiaggiabella,,lidokalu@libero.it,3896848765,,,,Inglese | Italiano,KALU' BEACH LIFE,STABILIMENTO BALNEARE - RISTORANTE,,,,,,,40.468628,18.186003,2022-09-30 00:00:00+02,3896848765,,,online,,,Servizi igienici | Porte di accesso facilmente manovrabili | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Arredi fissi,Segnaletica,,Bar | Ristorante | Punto ristoro,Per celiaci | Tipica | Italiana | Specialita' di mare | Gourmet,,,,,Salento,,,,,,,,16,,,SPIAGGIABELLA,,Custodito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
251,,LIDO KALU,LIDO KALU,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,Lecce,Itaca Lido,lidokalu@libero.it,,,,,,,,,,,,,,40.467335,18.183266,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,,
252,,Lido Kalura,Kalura di Calcagnile Ezio Salvatore & C. s.a.s.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075097,Porto Cesareo,Via dei Bacini,,ezio.calcagnile@alice.it,,,,,,,"stabilimento balneare sugli scogli, vicino al paese, dove è possibile degustare aperitivi e drinks rilassandosi e godendosi degli splenditi sunsets, tutto accompagnato dalla buona musica.",,,,,,,40.26684,17.884443,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,PORTO CESAREO,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
253,,Lido Kursal di Domenico Prencipe,Lido Kursal di Domenico Prencipe - ditta individuale,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071029,Manfredonia,Lungomare del sole Siponto-Manfredonia,100,lidokursaalsiponto@gmail.com,3336515290,,lidokursaalsiponto@pec.it,,Inglese | Italiano,LIDO KURSAAL,LIDO KURSAAL PER LA TUA ESTATE AL MARE,,,,,,,41.610897,15.897816,2023-10-19 00:00:00+02,3336515290,,,TELEFONO,,,,,,Bar | Ristorante | Punto ristoro | Deposito bagagli | Reception 24h | Cucina in uso comune | Baby sitting,Altro | Internazionale,,,,,Gargano e Daunia,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
254,,Lido La Baia,Lido La Baia di Cerasaro Daniele,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Strada delle Saline KM 25,,danielecerasaro@libero.it,3209614331,,,,,LIDO LA BAIA,"STABILIMENTO BALNEARE, BAR, RISTORANTE",,,,,,,41.37397,16.151165,2019-07-01 00:00:00+02,3209614331,,,,,,Autorimesse | Pendenza rampa | Pavimenti non sdrucciolevoli | Percorsi orizzontali con andamento quanto piu' possibile continuo,Parcheggi | Percorsi | Pavimentazione | Segnaletica,,Bar | Ristorante | Punto ristoro,Tipica,,,,,Puglia Imperiale,,,,,,,,16,,,MARGHERITA DI SAVOIA,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
255,,Lido La Baia,Lido La Baia di Domenico Sblendorio & C. s.a.s,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,Lungomare Noviello - Bari-Palese,10,antonellasblendorio@yahoo.it,0805300386,,lidolabaia@pec.it,,,Lido LA BAIA,stabilimento balneare,,,,,,,,,2023-01-16 00:00:00+01,0805300386,,,,,,Servizi igienici | Pendenza rampa,Pavimentazione,,Punto ristoro | Bar,Tipica,,,,,Bari e la costa,,,,,,,,16,,,BARI PALESE,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
256,,Lido La Baita,Andreula Cosimo,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073007,Ginosa,Lungomare L. Strada,,c.andreula@libero.it,3294251793,,,,,La Baita beach   Lido & Bar,Stabilimento Balneare,,,,,,,40.427185,16.890972,2022-10-06 00:00:00+02,3294251793,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pendenza rampa,Percorsi | Pavimentazione | Segnaletica,,,,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,,,Marina di Ginosa,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
257,,Lido La Barchetta,,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073003,Castellaneta,Lungomare Eroi del Mare,,patriziatomasillo@gmail.com,,,,,,Lido La Barchetta,"Lido, bar, ristorante, pizzeria,  serate danzanti ed intrattenimeno",,,,,,,40.46098,16.934528,2022-09-14 00:00:00+02,,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Servizi igienici | Pendenza rampa,Percorsi | Pavimentazione,,,,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,,,Castellaneta Marina,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
